Origin,"Date Created","Play Duration Milliseconds","Artist Name","Last Played","Play Count",Genres,Artists
UNKNOWN,20240803,821029,N/A,1722718743611,5,"Hip Hop/Rap, Music, Pop","Katy Perry, Pharrell Williams, Rauw Alejandro, Shawn Mendes, Swae Lee, Tommy Richman, Tones And I"
UNKNOWN,20240805,1219718,N/A,1722900557747,8,"Alternative, Dance, Music, Pop","BIA, Gigi D'Agostino, Hozier, Justin Bieber, Lukas Graham, Tiësto"
UNKNOWN,20240808,694882,N/A,1723158815915,1,"Dance, Electronic, Music",deadmau5
UNKNOWN,20240809,761509,N/A,1723216284496,2,"Dance, Electronic, Music, Trance","Armin van Buuren, Cosmic Gate, Maor Levi"
UNKNOWN,20240810,233160,N/A,1723330136393,1,"Dance, Music","LA Vision, VINAI"
UNKNOWN,20240813,1117328,N/A,1723589930547,7,"Dance, Latin, Latin Urban, Music, Pop, R&B/Soul, Trance","Ariana Grande, Chappell Roan, Dani Flow, Osmani Garcia ""La Voz"", Pitbull, Taylor Swift, The Weeknd, Tiësto"
UNKNOWN,20240814,1353659,N/A,1723672627307,7,"African, Afrobeats, Alternative, Dance, Music, Pop, Trance","Benson Boone, Black Eyed Peas, El Alfa, Jelly Roll, Justin Bieber, Omah Lay, Sia, Tiësto, mgk"
UNKNOWN,20240816,174470,N/A,1723846308798,4,"Dance, Heavy Metal, Hip Hop/Rap, Music, Pop, Rock","21 Savage, Drake, Jason Derulo, Jax Jones, Katy Perry, Mushroomhead, Pitbull, Young Thug"
UNKNOWN,20240817,1760353,N/A,1723938459038,12,"African, Afro-Pop, Dance, Music, Pop, R&B/Soul, Soundtrack","5 Seconds of Summer, AMIRROR, Akon, Anne-Marie, Ariana Grande, Bruno Mars, Charli xcx, Clean Bandit, David Guetta, Jason Derulo, Jax Jones, Lady Gaga, Maroon 5, Pitbull, The Weeknd"
UNKNOWN,20240818,335597,N/A,1724010266161,5,"Dance, Music, Pop, R&B/Soul","Alok, Doja Cat, Kate Bush, Mae Stephens, The Chainsmokers, The Weeknd"
UNKNOWN,20240819,84483,N/A,1724081887119,1,"Hip Hop/Rap, Music","Jack Harlow"
UNKNOWN,20240820,1255227,N/A,1724196442915,6,"Dance, Electronic, Music, R&B/Soul, Trance","Andy Moor, Gareth Emery, HALIENE, Markus Schulz, The Weeknd"
UNKNOWN,20240821,1247093,N/A,1724261114478,7,"Dance, Electronic, Music, Pop, Trance","Andy Moor, Ferry Corsten, Gareth Emery, HALIENE, Katy Perry, Markus Schulz"
UNKNOWN,20240823,852291,N/A,1724421461270,8,"Dance, Latin, Latin Urban, Music, Pop, R&B/Soul","AFROJACK, Charli xcx, Dani Flow, Jason Derulo, Jax Jones, Joel Corry, Ne-Yo, Osmani Garcia ""La Voz"", Pitbull, The Weeknd"
UNKNOWN,20241012,231877,N/A,1728749117928,1,"Dance, Music, Trance","Three Drives On a Vinyl"
UNKNOWN,20241014,327788,N/A,1728949135963,1,"Dance, Music, Trance","Tommy Johnson"
UNKNOWN,20241020,145829,N/A,1729452657807,2,"Dance, Electronic, Music, Trance","Ferry Corsten"
UNKNOWN,20241021,801074,N/A,1729545368983,2,"Dance, Music","Andrew Rayel, Bobina"
UNKNOWN,20241024,3533436,N/A,1729787159721,20,"Heavy Metal, Music, Rock",Otep
UNKNOWN,20241030,164450,N/A,1730329080525,2,"Dance, Music, Rock","Eiffel 65"
UNKNOWN,20241101,121503,N/A,1730476674127,1,"Dance, Music","Alphaville, Ava Max, David Guetta"
UNKNOWN,20241113,191715,N/A,1731533263641,1,"Music, New Age","Harmony Green"
UNKNOWN,20241122,325103,N/A,1732308566552,2,"Dance, Music, Pop","Bon Jovi, Drop - G, Pitbull, Regard"
UNKNOWN,20241129,181482,N/A,1732890256416,1,"Dance, Music","Above & Beyond, Opposite the Other, Seven Lions"
UNKNOWN,20241201,317894,N/A,1733012985079,1,"Dance, House, Music","Basto!"
UNKNOWN,20241208,776743,N/A,1733694461141,4,"Dance, Music, Pop","Alphaville, Ava Max, David Guetta, Lady Gaga"
