"Favorite Type","Item Reference","Item Description","Last Modified",Preference
Song,1670266069,"Depeche Mode - Speak To Me",2025-07-25T16:41:38Z,NEUTRAL
Song,1443232210,"Lil Jon - Crunk Rock (Intro)",2025-07-10T18:13:43Z,NEUTRAL
Song,1801842561,"LINKIN PARK - Let You Fade",2025-07-10T15:46:36Z,LIKE
Song,1801842324,"LINKIN PARK - From Zero (Intro)",2025-07-01T16:24:05Z,NEUTRAL
Song,1670265833,"Depeche Mode - My Favourite Stranger",2025-06-06T12:33:49Z,LIKE
Song,574055203,"AC/DC - Inject the Venom",2025-05-23T12:42:05Z,LIKE
Song,1764004438,"Nicholas Sillitoe & Even Sarucco - Silver Lines (Sollos Focus Mix)",2025-05-17T15:12:58Z,LIKE
Song,725823871,"Anne Clark - True Love Tales",2025-05-09T17:05:42Z,LIKE
Song,1449751188,"The Cure - The Promise",2025-04-11T01:06:27Z,LIKE
Song,1766137060,"LINKIN PARK - Overflow",2025-03-23T16:51:06Z,LIKE
Song,1768728503,"The Cure - Endsong",2025-03-15T16:19:42Z,LIKE
Song,1768728137,"The Cure - A Fragile Thing",2025-03-02T02:27:20Z,LIKE
Song,1766137052,"LINKIN PARK - Cut the Bridge",2025-02-23T16:54:33Z,LIKE
Song,1766137066,"LINKIN PARK - Good Things Go",2025-01-25T17:57:35Z,LIKE
Song,1647228386,"Bad Omens - What do you want from me?",2024-08-11T19:23:31Z,LIKE
Song,1700686544,"From Ashes to New - On My Own",2024-07-31T18:27:02Z,LIKE
Song,1735058150,"From Ashes to New - Hate Me Too",2024-07-30T22:08:43Z,LIKE
Song,778125004,"From Ashes to New - Live Again",2024-06-18T19:38:01Z,LIKE
Song,1326941853,"A Broken Silence - Im the One with the Gun",2024-05-14T14:39:37Z,LIKE
Song,1640553000,"CHVRCHES - Good Girls",2024-03-30T21:04:17Z,LIKE
Song,1411628993,"Imagine Dragons - Yesterday",2024-01-04T23:02:44Z,LIKE
Song,723627545,"Troika - Kyuan Yin",2023-12-09T20:51:34Z,LIKE
Song,1580727846,"nightbloom - spheres (spa)",2023-12-08T16:31:18Z,LIKE
Song,714777042,"Orchestral Manoeuvres In the Dark - Distance Fades Between Us",2023-12-05T15:33:35Z,LIKE
Song,1246701127,"Pet Shop Boys - Minimal",2023-11-30T22:32:37Z,LIKE
Song,1246701124,"Pet Shop Boys - Psychological",2023-11-30T21:52:18Z,LIKE
Song,1139142428,"Calming Water Consort - Soothing Beach Sounds",2023-11-26T23:55:07Z,LIKE
Song,1512305832,"s. lyre's extra goodies - Rain Thing",2023-11-26T23:29:47Z,LIKE
Song,1164442040,"Soular Order - An Island",2023-11-26T23:11:41Z,LIKE
Song,1436804947,"WYNNE - Come Alive",2023-11-26T22:08:47Z,LIKE
Song,1210349130,"Deep Sleep Relaxation Universe - Peaceful Music (Natural Sounds)",2023-11-24T22:53:56Z,LIKE
Song,1210349129,"Deep Sleep Relaxation Universe - Awakening (Sleep Music Collection)",2023-11-23T16:18:42Z,LIKE
Song,1443912785,"Tears for Fears - Suffer the Children (Remix)",2023-11-16T19:47:07Z,LIKE
Song,302136285,"Ministry - The Angel",2023-11-15T21:51:55Z,LIKE
Song,1486490822,"Mammals - Wolf",2023-11-12T02:00:39Z,LIKE
Song,572194175,"Atari Teenage Riot - Start the Riot!",2023-10-07T12:58:38.880Z,LIKE
Song,1184906682,"Cosmic Gate - Am2pm",2022-07-11T00:51:34.907Z,LIKE
Song,1594916416,"Ferry Corsten - Made of Love (feat. Betsie Larkin) [Album Edit]",2022-07-10T17:02:29.859Z,LIKE
Song,1577239739,"Lofi Fruits Music & Chill Fruits Music - Refound Motivation",2022-06-21T02:50:23.371Z,LIKE
Song,679400125,"Estonian Philharmonic Chamber Choir & Paul Hillier - All-Night Vigil, Op.37: II. Praise the Lord, O my soul",2022-06-07T20:48:47.051Z,LIKE
Song,1440779572,"L.A. Guns - The Ballad of Jayne",2022-05-20T02:30:49.146Z,LIKE
Song,392429593,"a-ha - Take On Me",2022-05-15T14:51:00.230Z,LIKE
Song,202272697,"Fleetwood Mac - Little Lies",2022-04-25T00:21:02.186Z,LIKE
Song,298423372,"Los Amantes de Lola - Beber de Tu Sangre",2022-03-12T22:45:07.268Z,LIKE
Song,1489173169,"Christmas Jazz Piano Trio - Christmas Bossa",2021-12-25T19:36:58.206Z,DISLIKE
Song,1440630994,"Queen - The Show Must Go On",2021-12-07T19:01:28.280Z,LIKE
Song,1440742336,"Steelheart - She's Gone",2021-04-24T16:14:49.642Z,LIKE
Song,1521719730,"Sunlounger - Lost (Dance Version)",2021-04-18T15:51:08.108Z,LIKE
Song,1440904256,"Def Leppard - Love Bites",2021-04-16T20:44:45.042Z,LIKE
Song,1532019310,"Tiësto - The Business",2021-04-14T15:52:01.541Z,LIKE
Song,1440908588,"Def Leppard - Too Late for Love",2021-04-08T14:11:54.787Z,LIKE
Song,1182133465,"Martha Argerich, Orchestre Symphonique de Montréal & Charles Dutoit - Piano Concerto No. 1 in E Minor, Op. 11: II. Romanze (Larghetto)",2021-04-07T14:31:20.576Z,LIKE
Song,829615674,"The Quest - C-Sharp",2021-04-01T15:08:09.561Z,LIKE
