Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
"United States",775258899,N/A,20150701,1,170000,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,,775258899,"Storm Queen - Look Right Through (Radio Edit)"
"United States",911121225,N/A,20150701,1,98000,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,,911121225,"Slipknot - The Negative One"
"United States",312126667,N/A,20150704,22,300000,NATURAL_END_OF_TRACK,IPHONE,1,0,,N/A,"Black Label Society - Fire It Up (feat. Zakk Wylde)"
"United States",873395048,N/A,20150704,22,196000,NATURAL_END_OF_TRACK,IPHONE,1,0,,873395048,"LINKIN PARK - Wastelands"
"United States",757485778,N/A,20150704,22,192000,NATURAL_END_OF_TRACK,IPHONE,1,0,,757485778,"Of Mice & Men - Would You Still Be There"
"United States",528975364,N/A,20150704,22,189000,NATURAL_END_OF_TRACK,IPHONE,1,0,,N/A,"LINKIN PARK - Given Up"
"United States",978194965,N/A,20150704,22,163000,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,2,1,,N/A,"Apple Music 1"
"United States",857886676,N/A,20150704,22,92000,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,,857886676,"HELLYEAH - Sangre por Sangre (Blood for Blood)"
"United States",978343885,N/A,20150704,22,85000,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,,N/A,"Devour the Day - Faith"
"United States",684436794,N/A,20150704,22,72000,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,,684436794,"Trivium - Strife"
"United States",967339617,N/A,20150704,22,71000,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,,N/A,"Three Days Grace - Human Race"
