"Play Duration Milliseconds","First Played","Last Played","Source Type","Date Created"
1561082,1754092859731,1754098804086,"UNKNOWN_DEVICE, IPHONE",20250802
4515474,1754011321734,1754092717190,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250801
6515583,1753924736598,1754000655434,"UNKNOWN_DEVICE, IPHONE",20250731
1280853,1753896748392,1753898195979,IPHONE,20250730
5032955,1753792726615,1753818592256,"UNKNOWN_DEVICE, IPHONE",20250729
10655000,1753714003363,1753741250403,UNKNOWN_DEVICE,20250728
4174817,1753577991632,1753634147755,"UNKNOWN_DEVICE, IPHONE",20250727
2066088,1753492380413,1753546807508,IPHONE,20250726
2657380,1753406173791,1753472340647,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250725
3756561,1753320415632,1753383566533,"IPHONE, ANDROID",20250724
1974709,1753237866080,1753292771802,"IPHONE, ANDROID",20250723
1557048,1753189686539,1753222357954,"IPHONE, ANDROID",20250722
4917861,1753110929070,1753118024578,ANDROID,20250721
4843151,1752974539597,1753039556200,"IPHONE, ANDROID",20250720
2992114,1752887738754,1752947215660,IPHONE,20250719
2880276,1752801422048,1752858464064,IPHONE,20250718
3040569,1752714944438,1752770634960,IPHONE,20250717
4102691,1752629779608,1752687823643,"IPHONE, ANDROID",20250716
2771971,1752540870793,1752613723016,"IPHONE, ANDROID",20250715
8844256,1752519706252,1752540870725,IPHONE,20250714
2620994,1752369259134,1752450984319,"IPHONE, ANDROID",20250713
9763417,1752283038677,1752347418835,"IPHONE, ANDROID",20250712
2975446,1752196645934,1752267563521,"IPHONE, ANDROID",20250711
11626226,1752107003026,1752186777824,"IPHONE, ANDROID",20250710
5445142,1752073243991,1752090962488,ANDROID,20250709
6447000,1751936324776,1751994381550,UNKNOWN_DEVICE,20250708
10075532,1751849285692,1751930949335,"UNKNOWN_DEVICE, ANDROID",20250707
11375036,1751764599173,1751834045087,"UNKNOWN_DEVICE, IPHONE",20250706
5941186,1751678210899,1751754021914,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250705
11953105,1751591785456,1751666907316,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250704
10064730,1751548961278,1751582335361,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250703
12777759,1751463403784,1751491898493,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250702
7866279,1751373293607,1751407409183,"UNKNOWN_DEVICE, IPHONE",20250701
2222000,1751244025288,1751289319972,UNKNOWN_DEVICE,20250630
9912377,1751159799550,1751230060682,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250629
11153019,1751071015723,1751142575069,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250628
16173542,1750983142806,1751062442340,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250627
8280664,1750900540265,1750972872816,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250626
9429673,1750820825293,1750892536078,"UNKNOWN_DEVICE, IPHONE",20250625
686908,1750723517005,1750756098272,"UNKNOWN_DEVICE, ANDROID",20250624
13258516,1750678612564,1750717397296,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250623
7153686,1750552881210,1750624374001,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250622
17208871,1750469015674,1750544522303,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250621
18352359,1750377430124,1750463265519,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250620
15585584,1750291736002,1750377616508,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250619
10601703,1750204593914,1750289946037,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250618
4449706,1750176457327,1750204639482,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250617
651000,1750078107500,1750078759289,UNKNOWN_DEVICE,20250616
6863122,1749953869521,1750030867572,"IPHONE, ANDROID",20250615
14927303,1749859156421,1749931990876,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250614
20586110,1749777148408,1749859156973,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250613
19700081,1749686422469,1749755739712,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250612
10413431,1749601586155,1749686325358,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250611
9433931,1749513594191,1749586582931,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250610
20945300,1749427221886,1749513593829,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250609
40989869,1749340750885,1749427354004,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250608
15077849,1749300449468,1749340752375,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250607
4731170,1749171900041,1749228591100,"UNKNOWN_DEVICE, IPHONE",20250606
10379448,1749085470724,1749162826439,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250605
10946262,1749039109864,1749078290989,"UNKNOWN_DEVICE, IPHONE",20250604
4602019,1748952800834,1748987297395,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250603
7024350,1748823194973,1748897698680,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250602
5807881,1748791924767,1748813418655,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250601
4938129,1748653779035,1748734552456,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250531
4002356,1748567373675,1748623927617,"UNKNOWN_DEVICE, IPHONE",20250530
9551134,1748476730715,1748557673530,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250529
14811282,1748390905323,1748476731280,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250528
19582902,1748357041930,1748387644898,"UNKNOWN_DEVICE, ANDROID",20250527
18492416,1748217888860,1748304143978,"UNKNOWN_DEVICE, ANDROID",20250526
15448385,1748132113824,1748218413349,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250525
6487855,1748092067797,1748130651331,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250524
10137027,1747958532267,1748038029037,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250523
12661231,1747875791183,1747955148922,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250522
4173075,1747787558318,1747863679809,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250521
7963632,1747703783622,1747787549265,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250520
8990096,1747614841777,1747696802579,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250519
19819288,1747530219887,1747614820366,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250518
18824926,1747440043866,1747507827185,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250517
11214001,1747353949935,1747440010177,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250516
23026881,1747267336146,1747353848106,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250515
9907316,1747183346684,1747267204488,"UNKNOWN_DEVICE, IPHONE, ANDROID",20250514
6706858,1747094311339,1747175458793,"IPHONE, ANDROID",20250513
13739360,1747010352599,1747094310284,"IPHONE, ANDROID",20250512
6919404,1746925408118,1747003674300,"UNKNOWN_DEVICE, IPHONE",20250511
5841709,1746839417834,1746896057669,"UNKNOWN_DEVICE, IPHONE",20250510
4831516,1746752534258,1746810332707,"UNKNOWN_DEVICE, IPHONE",20250509
12841612,1746666144463,1746742848450,"UNKNOWN_DEVICE, IPHONE",20250508
10812339,1746575910067,1746660668344,"UNKNOWN_DEVICE, IPHONE",20250507
3715709,1746529214062,1746575909489,"UNKNOWN_DEVICE, IPHONE",20250506
4396888,1746448115470,1746481309522,"UNKNOWN_DEVICE, IPHONE",20250505
8962881,1746317122872,1746401201150,"UNKNOWN_DEVICE, IPHONE",20250504
9077594,1746234262341,1746315823361,"UNKNOWN_DEVICE, IPHONE",20250503
40310040,1746147887171,1746229133094,"UNKNOWN_DEVICE, IPHONE",20250502
13223100,1746061521237,1746115974794,"UNKNOWN_DEVICE, IPHONE",20250501
4976671,1746010804113,1746056889356,"UNKNOWN_DEVICE, IPHONE",20250430
6874241,1745891021582,1745958608648,"UNKNOWN_DEVICE, IPHONE",20250429
5838249,1745803690040,1745866705595,"UNKNOWN_DEVICE, IPHONE",20250428
13526538,1745715837379,1745788126656,"UNKNOWN_DEVICE, IPHONE",20250427
13913145,1745626595835,1745711641632,"UNKNOWN_DEVICE, IPHONE",20250426
4145917,1745583454003,1745599852989,"UNKNOWN_DEVICE, IPHONE",20250425
4476218,1745456924057,1745514325676,"UNKNOWN_DEVICE, IPHONE",20250424
6007000,1745406021890,1745440354967,UNKNOWN_DEVICE,20250423
8529831,1745324894920,1745354033983,"UNKNOWN_DEVICE, IPHONE",20250422
1225000,1745240079357,1745272652819,UNKNOWN_DEVICE,20250421
9093626,1745108151009,1745191270456,"UNKNOWN_DEVICE, IPHONE",20250420
5024429,1745024611355,1745086720014,"UNKNOWN_DEVICE, IPHONE",20250419
3751046,1744938360910,1744994981485,"UNKNOWN_DEVICE, IPHONE",20250418
3979409,1744852218190,1744913375437,"UNKNOWN_DEVICE, IPHONE",20250417
5171489,1744810746811,1744852217596,"UNKNOWN_DEVICE, IPHONE",20250416
12994000,1744726925661,1744744100997,UNKNOWN_DEVICE,20250415
3317778,1744592583872,1744638026998,"UNKNOWN_DEVICE, IPHONE",20250414
