Country,"Container Name","Impression Create Date",Location,"Recommendation ID"
"United States","David Guetta & Sia - Beautiful People - Single",20250729,"FUSE.ForYou.Module.Recently.Played","61d38a41-45d7-4daf-aa6b-385ddf9b2d03~a52b9b2c-6aba-429d-82b5-ecbd7189c6d4~16~1753793204680"
"United States","Jax Jones & Emei - Stereo - Single",20250729,"FUSE.ForYou.Module.Recently.Played","61d38a41-45d7-4daf-aa6b-385ddf9b2d03~a52b9b2c-6aba-429d-82b5-ecbd7189c6d4~16~1753793204680"
"United States","Yuri - 海月 - Single",20250729,FY.Module.TopPicks,"61d38a41-45d7-4daf-aa6b-385ddf9b2d03~fa7f06cf-8508-41a0-bfb2-8daf9bd1e85a~24~1753793204680"
"United States","Favorites Mix",20250729,FY.Module.TopPicks,"61d38a41-45d7-4daf-aa6b-385ddf9b2d03~fa7f06cf-8508-41a0-bfb2-8daf9bd1e85a~24~1753793204680"
"United States",N/A,20250729,"FUSE.ForYou.Module.Recently.Played","61d38a41-45d7-4daf-aa6b-385ddf9b2d03~a52b9b2c-6aba-429d-82b5-ecbd7189c6d4~16~1753793204680"
"United States",N/A,20250729,FY.Module.TopPicks,"61d38a41-45d7-4daf-aa6b-385ddf9b2d03~fa7f06cf-8508-41a0-bfb2-8daf9bd1e85a~24~1753793204680"
"United States","Lil Jon - Crunk Rock",20250702,"FUSE.ForYou.Module.Recently.Played","b7bceca5-f634-4b8d-b10d-5b1b81c549ad~b9e3e26e-06e9-4a69-bc98-7fe624febfa7~16~1751497350938"
"United States","Lil Jon - Crunk Rock (Deluxe Edition)",20250702,"FUSE.ForYou.Module.Recently.Played","b7bceca5-f634-4b8d-b10d-5b1b81c549ad~b9e3e26e-06e9-4a69-bc98-7fe624febfa7~16~1751497350938"
"United States","Cyndi Lauper - A Night to Remember",20250702,FY.Module.TopPicks,"b7bceca5-f634-4b8d-b10d-5b1b81c549ad~e35caf79-2b35-42b4-bafd-161d74b6cb0d~24~1751497350961"
"United States","Heavy Rotation Mix",20250702,FY.Module.TopPicks,"b7bceca5-f634-4b8d-b10d-5b1b81c549ad~e35caf79-2b35-42b4-bafd-161d74b6cb0d~24~1751497350961"
