"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
294,1,2025-08-02T01:36:24.726Z,2025-08-02T01:36:24.751Z,Album,"The Cure - Songs Of A Lost World",N/A,false,"United States",1768728131,N/A
1,1,2025-08-02T00:11:08.987Z,2025-08-02T00:11:08.987Z,"Radio Station",N/A,N/A,false,"United States",ra.a-1366503504,N/A
1,1,2025-08-02T00:10:52.135Z,2025-08-02T00:10:52.135Z,"Radio Station",N/A,N/A,false,"United States",ra.a-19627204,N/A
1,1,2025-08-02T00:01:45.945Z,2025-08-02T00:01:45.945Z,"Radio Station",N/A,N/A,false,"United States",ra.a-507024,N/A
2,1,2025-08-01T23:57:45.126Z,2025-08-01T23:57:45.126Z,"Radio Station",N/A,N/A,false,"United States",ra.a-569363,N/A
1,1,2025-08-01T23:43:05.116Z,2025-08-01T23:43:05.116Z,Album,"Rico Nasty - Hard - Single",N/A,false,"United States",1490025549,N/A
8,1,2025-08-01T23:10:34.487Z,2025-08-01T23:10:34.487Z,"Radio Station",N/A,N/A,false,"United States",ra.a-886834,N/A
8,1,2025-08-01T22:26:14.277Z,2025-08-01T22:26:14.972Z,Album,"David Guetta & Sia - Beautiful People - Single",N/A,false,"United States",1795765069,N/A
1,1,2025-08-01T19:14:05.020Z,2025-08-01T19:14:05.020Z,"Radio Station",N/A,N/A,false,"United States",ra.a-251375,N/A
868,1,2025-07-31T22:21:41.778Z,2025-07-31T22:21:41.778Z,"Radio Station",N/A,N/A,false,"United States",ra.1055200360,N/A
7,1,2025-07-31T01:41:32.591Z,2025-07-31T01:41:32.672Z,Album,"Tears for Fears - The Tipping Point",N/A,false,"United States",1586912660,N/A
176,1,2025-07-30T03:03:56.660Z,2025-07-30T03:03:56.660Z,"Radio Station",N/A,N/A,false,"United States",ra.q-MP3EBw,N/A
1,1,2025-07-29T19:31:57.508Z,2025-07-29T19:31:57.508Z,"Radio Station",N/A,N/A,false,"United States",ra.686227433,N/A
1,1,2025-07-27T12:52:31.329Z,2025-07-27T12:52:31.628Z,N/A,N/A,N/A,false,"United States",N/A,N/A
1,1,2025-07-26T04:10:27.757Z,2025-07-26T04:10:27.757Z,Playlist,N/A,N/A,false,"United States","pl.7443acde692445d0b48a53e2791392e5",N/A
3,1,2025-07-26T01:13:00.218Z,2025-07-26T01:13:00.470Z,Album,"Juice WRLD & XXXTENTACION - The Way - Single",N/A,false,"United States",1823834435,N/A
2,1,2025-07-25T22:06:24.058Z,2025-07-25T22:06:24.097Z,Album,"Sam Smith - To Be Free - Single",N/A,false,"United States",1827908844,N/A
1,1,2025-07-25T19:32:11.887Z,2025-07-25T19:32:11.952Z,Album,"ROSÉ - Messy (From F1® The Movie) - Single",N/A,false,"United States",1812102239,N/A
1,1,2025-07-25T19:27:37.890Z,2025-07-25T19:27:37.936Z,Album,"Lil Nas X - LEAN ON MY BODY - Single",N/A,false,"United States",1802954532,N/A
3,1,2025-07-25T19:26:59.616Z,2025-07-25T19:26:59.655Z,Album,"Lil Nas X - Days Before Dreamboy",N/A,false,"United States",1804385023,N/A
2,1,2025-07-25T19:24:27.867Z,2025-07-25T19:24:28.004Z,Album,"Dasha - Not At This Party - Single",N/A,false,"United States",1794439510,N/A
227,1,2025-07-25T16:36:22.834Z,2025-07-25T16:36:23.175Z,Album,"Depeche Mode - Memento Mori",N/A,false,"United States",1670265523,N/A
3,1,2025-07-24T15:51:31.693Z,2025-07-24T15:51:31.737Z,Album,"Jax Jones & Emei - Stereo - Single",N/A,false,"United States",1822561229,N/A
1,1,2025-07-24T03:08:38.132Z,2025-07-24T03:08:38.179Z,Album,"Mt. Joy & Gigi Perez - In The Middle - Single",N/A,false,"United States",1814957314,N/A
111,1,2025-07-24T03:06:54.495Z,2025-07-24T03:06:54.554Z,Playlist,"HITS 2025 - Today's Hits",N/A,false,"United States","pl.f8f5a99597794dcfac4bc206bf309c93",N/A
5,1,2025-07-24T03:04:20.340Z,2025-07-24T03:04:20.381Z,Album,"Lady Gaga - MAYHEM",N/A,false,"United States",1792666546,N/A
1,1,2025-07-24T03:00:41.146Z,2025-07-24T03:00:41.197Z,Album,"Halsey - Die 4 Me - Single",N/A,false,"United States",1673575618,N/A
3,1,2025-07-24T03:00:32.207Z,2025-07-24T03:00:32.695Z,Album,"Maroon 5 & LISA - Priceless - Single",N/A,false,"United States",1810385824,N/A
4,1,2025-07-23T22:04:10.926Z,2025-07-23T22:04:10.979Z,Album,"Drake - Hold On, We're Going Home (feat. Majid Jordan) - Single",N/A,false,"United States",1445298066,N/A
1,1,2025-07-23T15:51:53.283Z,2025-07-23T15:51:53.314Z,Album,"Joyner Lucas & Ava Max - Tear Me Down - Single",N/A,false,"United States",1827087467,N/A
1,1,2025-07-23T15:51:20.662Z,2025-07-23T15:51:20.708Z,Album,"Myles Smith - Stargazing - Single",N/A,false,"United States",1742275516,N/A
4,1,2025-07-23T15:45:15.295Z,2025-07-23T15:45:15.318Z,Album,"Lizzo - Love in Real Life - Single",N/A,false,"United States",1798512031,N/A
3,1,2025-07-23T15:41:11.404Z,2025-07-23T15:41:12.183Z,Album,"Regard & RAYE - Secrets - Single",N/A,false,"United States",1522863925,N/A
3,1,2025-07-23T15:35:43.669Z,2025-07-23T15:35:43.701Z,Album,"JENNIE & Dua Lipa - Handlebars - Single",N/A,false,"United States",1800046606,N/A
1,1,2025-07-23T02:34:36.767Z,2025-07-23T02:34:36.868Z,Album,"Lizzo - Still Bad - Single",N/A,false,"United States",1802039193,N/A
3,1,2025-07-23T02:31:18.621Z,2025-07-23T02:31:18.823Z,Album,"Jack Harlow - Come Home The Kids Miss You",N/A,false,"United States",1618136433,N/A
1,1,2025-07-23T02:30:10.698Z,2025-07-23T02:30:10.777Z,Album,"Jung Kook & Jack Harlow - 3D - Single",N/A,false,"United States",1707603117,N/A
4,1,2025-07-22T20:58:29.420Z,2025-07-22T20:58:31.454Z,Album,"The Weeknd - Hurry Up Tomorrow",N/A,false,"United States",1793702595,N/A
3,1,2025-07-22T20:54:58.607Z,2025-07-22T20:54:58.651Z,Album,"Gracie Abrams - The Secret of Us",N/A,false,"United States",1743054543,N/A
5,1,2025-07-22T20:47:43.743Z,2025-07-22T20:47:44.787Z,Album,"Marshmello, Ellie Goulding & AVAION - Save My Love - Single",N/A,false,"United States",1818357786,N/A
191,1,2025-07-22T13:08:06.421Z,2025-07-22T13:08:06.437Z,Album,"LINKIN PARK - From Zero (Deluxe Edition)",N/A,false,"United States",1801842323,N/A
3,1,2025-07-21T16:50:20.433Z,2025-07-21T16:50:20.516Z,Album,"SZA - SOS",N/A,false,"United States",1657869377,N/A
4,1,2025-07-21T16:47:24.905Z,2025-07-21T16:47:24.985Z,Album,"Gracie Abrams - The Secret of Us (Deluxe)",N/A,false,"United States",1773473685,N/A
4,1,2025-07-21T16:27:24.561Z,2025-07-21T16:27:25.167Z,Album,"Khalid - American Teen",N/A,false,"United States",1200868601,N/A
2,1,2025-07-21T16:22:54.167Z,2025-07-21T16:22:54.187Z,Album,"Addison Rae - Addison",N/A,false,"United States",1809015416,N/A
2,1,2025-07-21T16:21:42.148Z,2025-07-21T16:21:42.185Z,Album,"Lizzo - MY FACE HURTS FROM SMILING",N/A,false,"United States",1822827244,N/A
