"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2025-08-02T01:36:25.043Z,Album,"The Cure - Songs Of A Lost World","The Cure - Endsong",false,"United States",1768728131,1768728503,siri,2025-08-02T01:36:25.043Z,PLAYBACK_SUSPENDED,2025-08-02T01:40:04.086Z,2025-08-02T01:40:04.364Z,2025-08-02T01:36:25.043Z,219043,219043,623366,AUDIO,0,1,0,219043
2025-08-02T01:31:03.586Z,Album,"The Cure - Songs Of A Lost World","The Cure - All I Ever Am",false,"United States",1768728131,1768728502,siri,2025-08-02T01:31:03.586Z,NATURAL_END_OF_TRACK,2025-08-02T01:36:24.720Z,2025-08-02T01:36:24.751Z,2025-08-02T01:31:03.586Z,321145,321134,321134,AUDIO,0,1,0,321134
2025-08-02T01:25:00.029Z,Album,"The Cure - Songs Of A Lost World","The Cure - I Can Never Say Goodbye",false,"United States",1768728131,1768728501,siri,2025-08-02T01:25:00.029Z,NATURAL_END_OF_TRACK,2025-08-02T01:31:03.532Z,2025-08-02T01:31:03.615Z,2025-08-02T01:25:00.029Z,363503,363503,363521,AUDIO,0,1,0,363503
2025-08-02T01:20:14.870Z,Album,"The Cure - Songs Of A Lost World","The Cure - Drone:Nodrone",false,"United States",1768728131,1768728499,siri,2025-08-02T01:20:14.870Z,NATURAL_END_OF_TRACK,2025-08-02T01:25:00.045Z,2025-08-02T01:25:00.072Z,2025-08-02T01:20:14.870Z,285175,285175,285180,AUDIO,0,1,0,285175
2025-08-01T01:40:26.352Z,Album,"The Cure - Songs Of A Lost World","The Cure - Warsong",false,"United States",1768728131,1768728138,siri,2025-08-01T01:40:26.352Z,NATURAL_END_OF_TRACK,2025-08-02T01:20:15.042Z,2025-08-02T01:20:15.093Z,2025-08-02T01:16:31.516Z,257418,223526,257418,AUDIO,0,1,0,257418
2025-08-02T00:33:15.444Z,N/A,N/A,"Lil Peep & XXXTENTACION - Falling Down (Bonus Track)",false,"United States",N/A,1440822543,voice_control,2025-08-02T00:33:15.444Z,PLAYBACK_MANUALLY_PAUSED,2025-08-02T00:33:24.444Z,2025-08-02T00:33:24.444Z,2025-08-02T00:33:15.444Z,9000,9000,196000,AUDIO,0,1,0,9000
2025-08-02T00:11:42.259Z,N/A,N/A,"JAY-Z & Kanye West - Ni**as in Paris",false,"United States",N/A,1440845524,voice_control,2025-08-02T00:11:42.259Z,PLAYBACK_MANUALLY_PAUSED,2025-08-02T00:12:47.259Z,2025-08-02T00:12:47.259Z,2025-08-02T00:11:42.259Z,65000,65000,219000,AUDIO,0,1,0,65000
2025-08-02T00:11:20.696Z,N/A,N/A,"JuiczyClassic - Bedroom Noises",false,"United States",N/A,1624249482,voice_control,2025-08-02T00:11:20.696Z,PLAYBACK_MANUALLY_PAUSED,2025-08-02T00:11:41.696Z,2025-08-02T00:11:41.696Z,2025-08-02T00:11:20.696Z,21000,21000,156000,AUDIO,0,1,0,21000
2025-08-02T00:11:07.967Z,"Radio Station",N/A,"Lil Tecca - 500lbs",false,"United States",ra.a-1366503504,1726099740,voice_control,2025-08-02T00:11:07.967Z,PLAYBACK_MANUALLY_PAUSED,2025-08-02T00:11:18.967Z,2025-08-02T00:11:18.967Z,2025-08-02T00:11:07.967Z,11000,11000,144000,AUDIO,0,1,0,11000
2025-08-02T00:10:55.171Z,N/A,N/A,"The Commodores - Easy",false,"United States",N/A,1442972225,voice_control,2025-08-02T00:10:55.171Z,PLAYBACK_MANUALLY_PAUSED,2025-08-02T00:11:08.171Z,2025-08-02T00:11:08.171Z,2025-08-02T00:10:55.171Z,13000,13000,257000,AUDIO,0,1,0,13000
