"Station Id",Subscription?,Shared?,Created,"Last Modified",Deleted?,"Station Description"
st.42273744,false,false,2013-09-25T16:29:00.328Z,2013-09-25T16:29:25.842Z,No,"VNV Nation Radio"
st.123135105,false,false,2013-12-14T18:53:20.175Z,2013-12-14T18:53:20.173Z,Yes,"Hardcore Metal Radio"
st.123132143,false,false,2013-12-14T18:55:19.999Z,2013-12-14T18:55:19.998Z,No,"Black Sabbath Radio"
st.123153113,false,false,2013-12-14T19:12:00.443Z,2014-09-28T22:27:00.948Z,No,"Dio Radio"
st.284593043,false,false,2014-06-10T17:02:59.180Z,2014-06-10T17:02:59.179Z,Yes,"First Play - LINKIN PARK, The Hunting Party"
st.386585156,false,false,2014-09-28T22:25:57.626Z,2014-09-28T22:25:57.625Z,Yes,"Classic Rock Live "
st.386619003,false,false,2014-09-28T22:43:18.984Z,2014-09-28T22:43:18.983Z,No,"Pure Pop"
st.386567777,false,false,2014-09-28T22:43:51.153Z,2014-09-28T22:43:51.152Z,No,"Touch Me (Gummibär) Radio"
st.386597258,false,false,2014-09-28T22:48:11.128Z,2014-09-28T22:48:11.126Z,No,"Gummy from Bom Bom Bay Radio"
st.1026415761,false,true,2019-06-18T15:16:27.826Z,2019-06-18T15:16:27.965Z,No,"Avatar Radio"
st.1026568864,false,true,2019-06-18T18:51:54.496Z,2019-06-18T18:51:54.753Z,Yes,"Apoptygma Berzerk Radio"
st.1027143889,false,true,2019-06-19T16:11:21.558Z,2019-06-19T16:11:21.714Z,Yes,"LINKIN PARK Radio"
st.1028705320,false,true,2019-06-21T16:36:25.982Z,2019-06-21T16:36:26.124Z,Yes,"Pet Shop Boys Radio"
st.1029567428,false,true,2019-06-22T17:18:40.577Z,2019-06-22T17:18:40.793Z,Yes,"Orchestral Manoeuvres In the Dark Radio"
st.1029670077,false,true,2019-06-22T18:47:04.584Z,2019-06-22T18:47:04.782Z,Yes,"The Cure Radio"
st.1031110219,false,true,2019-06-24T19:00:33.206Z,2019-06-24T19:00:33.361Z,No,":Wumpscut: Radio"
st.1031181292,false,true,2019-06-24T21:06:55.719Z,2019-06-24T21:06:55.916Z,Yes,"Skinny Puppy Radio"
st.1031736945,false,true,2019-06-25T19:11:54.863Z,2019-06-25T19:11:55.048Z,Yes,"Ministry Radio"
st.1031779482,false,true,2019-06-25T19:24:19.893Z,2019-06-25T19:24:20.105Z,Yes,"VNV Nation Radio"
st.1032293459,false,true,2019-06-26T14:05:42.261Z,2019-06-26T14:05:43.038Z,No,"Unto Ashes Radio"
st.1032454239,false,true,2019-06-26T17:01:42.520Z,2019-06-26T17:01:42.673Z,Yes,"The Tear Garden Radio"
st.1033219803,false,true,2019-06-27T18:30:22.419Z,2019-06-27T18:30:22.645Z,No,"Tears for Fears Radio"
st.1033971411,false,true,2019-06-28T16:17:05.645Z,2019-06-28T16:17:05.822Z,Yes,"Black Sabbath Radio"
st.1034733909,false,true,2019-06-29T16:35:38.617Z,2019-06-29T16:35:38.812Z,No,"Slipknot Radio"
st.1035025232,false,true,2019-06-29T22:12:08.687Z,2019-06-29T22:12:08.834Z,Yes,"Ozzy Osbourne Radio"
